mode: atomic
wbtest/internal/config/config.go:100.30,102.16 2 0
wbtest/internal/app/app.go:116.15,118.3 1 0
wbtest/internal/app/app.go:125.32,131.16 2 0
wbtest/internal/app/app.go:131.16,133.3 1 0
wbtest/internal/app/app.go:134.2,134.23 1 0
wbtest/internal/app/app.go:141.50,147.16 2 0
wbtest/internal/app/app.go:147.16,149.3 1 0
wbtest/internal/app/app.go:150.2,151.24 2 0
wbtest/internal/app/app.go:154.66,155.23 1 0
wbtest/internal/app/app.go:155.23,157.3 1 0
wbtest/internal/app/app.go:166.25,184.2 6 0
wbtest/internal/app/app.go:193.9,199.16 2 0
wbtest/internal/app/app.go:199.16,201.3 1 0
wbtest/internal/app/app.go:203.2,203.21 1 0
wbtest/internal/app/app.go:203.21,205.3 1 0
wbtest/internal/app/app.go:206.2,206.12 1 0
wbtest/internal/app/app.go:216.9,218.16 2 0
wbtest/internal/app/app.go:218.16,220.3 1 0
wbtest/internal/app/app.go:222.2,223.16 2 0
wbtest/internal/app/app.go:223.16,225.3 1 0
wbtest/internal/app/app.go:227.2,234.21 2 0
wbtest/internal/app/app.go:234.21,236.3 1 0
wbtest/internal/app/app.go:238.2,245.21 2 0
wbtest/internal/app/app.go:245.21,247.3 1 0
wbtest/internal/app/app.go:249.2,249.12 1 0
wbtest/internal/app/app.go:252.48,253.60 1 0
wbtest/internal/app/app.go:253.60,255.3 1 0
wbtest/internal/app/app.go:256.2,256.12 1 0
wbtest/internal/app/app.go:259.39,261.2 1 0
wbtest/internal/repository/delivery.go:21.71,23.2 1 0
wbtest/internal/repository/delivery.go:30.29,48.16 4 0
wbtest/internal/repository/delivery.go:48.16,50.3 1 0
wbtest/internal/repository/delivery.go:52.2,62.16 3 0
wbtest/internal/repository/delivery.go:62.16,64.54 2 0
wbtest/internal/repository/delivery.go:64.54,66.4 1 0
wbtest/internal/repository/delivery.go:67.3,67.55 1 0
wbtest/internal/repository/delivery.go:70.2,70.20 1 0
wbtest/internal/repository/delivery.go:76.29,85.16 4 0
wbtest/internal/repository/delivery.go:85.16,87.3 1 0
wbtest/internal/repository/delivery.go:89.2,100.16 3 0
wbtest/internal/repository/delivery.go:100.16,101.36 1 0
wbtest/internal/repository/delivery.go:101.36,103.4 1 0
wbtest/internal/repository/delivery.go:104.3,104.55 1 0
wbtest/internal/repository/delivery.go:107.2,107.20 1 0
wbtest/internal/repository/item.go:21.63,23.2 1 0
wbtest/internal/repository/item.go:30.9,33.21 2 0
wbtest/internal/repository/item.go:33.21,35.3 1 0
wbtest/internal/repository/item.go:37.2,38.29 2 0
wbtest/internal/repository/item.go:38.29,54.3 1 0
wbtest/internal/repository/item.go:56.2,57.9 2 0
wbtest/internal/repository/item.go:57.9,59.3 1 0
wbtest/internal/repository/item.go:61.2,72.16 3 0
wbtest/internal/repository/item.go:72.16,74.54 2 0
wbtest/internal/repository/item.go:74.54,76.4 1 0
wbtest/internal/repository/item.go:77.3,77.50 1 0
wbtest/internal/repository/item.go:80.2,80.12 1 0
wbtest/internal/repository/item.go:86.27,96.16 5 0
wbtest/internal/repository/item.go:96.16,98.3 1 0
wbtest/internal/repository/item.go:100.2,102.16 3 0
wbtest/internal/repository/item.go:102.16,103.36 1 0
wbtest/internal/repository/item.go:103.36,105.4 1 0
wbtest/internal/repository/item.go:106.3,106.51 1 0
wbtest/internal/repository/item.go:108.2,110.18 2 0
wbtest/internal/repository/item.go:110.18,127.17 3 0
wbtest/internal/repository/item.go:127.17,129.4 1 0
wbtest/internal/repository/item.go:131.3,131.32 1 0
wbtest/internal/repository/item.go:134.2,134.20 1 0
wbtest/internal/repository/order.go:21.65,23.2 1 0
wbtest/internal/repository/order.go:29.26,50.16 4 0
wbtest/internal/repository/order.go:50.16,52.3 1 0
wbtest/internal/repository/order.go:54.2,68.16 3 0
wbtest/internal/repository/order.go:68.16,70.54 2 0
wbtest/internal/repository/order.go:70.54,72.4 1 0
wbtest/internal/repository/order.go:73.3,73.55 1 0
wbtest/internal/repository/order.go:76.2,76.20 1 0
wbtest/internal/repository/order.go:82.26,91.16 4 0
wbtest/internal/repository/order.go:91.16,93.3 1 0
wbtest/internal/repository/order.go:95.2,109.16 3 0
wbtest/internal/repository/order.go:109.16,110.36 1 0
wbtest/internal/repository/order.go:110.36,112.4 1 0
wbtest/internal/repository/order.go:113.3,113.55 1 0
wbtest/internal/repository/order.go:116.2,116.20 1 0
wbtest/internal/repository/order.go:119.86,125.16 4 0
wbtest/internal/repository/order.go:125.16,127.3 1 0
wbtest/internal/repository/order.go:129.2,130.16 2 0
wbtest/internal/repository/order.go:130.16,132.3 1 0
wbtest/internal/repository/order.go:133.2,136.18 3 0
wbtest/internal/repository/order.go:136.18,138.40 2 0
wbtest/internal/repository/order.go:138.40,140.4 1 0
wbtest/internal/repository/order.go:141.3,141.27 1 0
wbtest/internal/repository/order.go:144.2,144.23 1 0
wbtest/internal/repository/order.go:144.23,146.3 1 0
wbtest/internal/repository/order.go:148.2,148.18 1 0
wbtest/internal/repository/payment.go:21.69,23.2 1 0
wbtest/internal/repository/payment.go:30.28,51.16 4 0
wbtest/internal/repository/payment.go:51.16,53.3 1 0
wbtest/internal/repository/payment.go:55.2,68.16 3 0
wbtest/internal/repository/payment.go:68.16,70.54 2 0
wbtest/internal/repository/payment.go:70.54,72.4 1 0
wbtest/internal/repository/payment.go:73.3,73.55 1 0
wbtest/internal/repository/payment.go:76.2,76.20 1 0
wbtest/internal/repository/payment.go:82.28,91.16 4 0
wbtest/internal/repository/payment.go:91.16,93.3 1 0
wbtest/internal/repository/payment.go:95.2,109.16 3 0
wbtest/internal/repository/payment.go:109.16,110.36 1 0
wbtest/internal/repository/payment.go:110.36,112.4 1 0
wbtest/internal/repository/payment.go:113.3,113.55 1 0
wbtest/internal/repository/payment.go:116.2,116.20 1 0
wbtest/internal/service/service.go:85.17,86.62 1 14
wbtest/internal/service/service.go:86.62,91.3 1 0
wbtest/internal/service/service.go:93.2,102.3 1 14
wbtest/internal/service/service.go:105.65,112.16 5 0
wbtest/internal/service/service.go:112.16,114.3 1 0
wbtest/internal/service/service.go:116.2,116.20 1 0
wbtest/internal/service/service.go:116.20,119.3 2 0
wbtest/internal/service/service.go:121.2,122.27 2 0
wbtest/internal/service/service.go:122.27,124.22 2 0
wbtest/internal/service/service.go:124.22,130.12 2 0
wbtest/internal/service/service.go:133.3,133.76 1 0
wbtest/internal/service/service.go:133.76,136.4 2 0
wbtest/internal/service/service.go:136.9,143.4 1 0
wbtest/internal/service/service.go:146.2,151.12 2 0
wbtest/internal/service/service.go:157.26,162.16 4 8
wbtest/internal/service/service.go:162.16,164.3 1 1
wbtest/internal/service/service.go:165.2,165.45 1 7
wbtest/internal/service/service.go:165.45,167.3 1 0
wbtest/internal/service/service.go:169.2,176.15 3 7
wbtest/internal/service/service.go:176.15,178.38 2 7
wbtest/internal/service/service.go:178.38,184.4 1 1
wbtest/internal/service/service.go:187.2,187.47 1 7
wbtest/internal/service/service.go:187.47,194.3 2 4
wbtest/internal/service/service.go:196.2,197.16 2 3
wbtest/internal/service/service.go:197.16,204.3 2 1
wbtest/internal/service/service.go:206.2,215.26 4 2
wbtest/internal/service/service.go:221.26,227.41 2 3
wbtest/internal/service/service.go:227.41,230.18 3 2
wbtest/internal/service/service.go:230.18,232.5 1 0
wbtest/internal/service/service.go:234.4,234.98 1 2
wbtest/internal/service/service.go:234.98,236.5 1 0
wbtest/internal/service/service.go:238.4,238.96 1 2
wbtest/internal/service/service.go:238.96,240.5 1 0
wbtest/internal/service/service.go:242.4,242.89 1 2
wbtest/internal/service/service.go:242.89,244.5 1 0
wbtest/internal/service/service.go:246.4,246.14 1 2
wbtest/internal/service/service.go:249.2,249.16 1 3
wbtest/internal/service/service.go:249.16,252.3 1 1
wbtest/internal/service/service.go:254.2,254.26 1 2
wbtest/internal/service/service.go:261.26,263.16 2 2
wbtest/internal/service/service.go:263.16,266.3 1 0
wbtest/internal/service/service.go:267.2,267.19 1 2
wbtest/internal/service/service.go:275.29,277.16 2 2
wbtest/internal/service/service.go:277.16,280.3 1 0
wbtest/internal/service/service.go:281.2,281.22 1 2
wbtest/internal/service/service.go:289.28,291.16 2 2
wbtest/internal/service/service.go:291.16,294.3 1 0
wbtest/internal/service/service.go:295.2,295.21 1 2
wbtest/internal/service/service.go:303.9,304.69 1 2
wbtest/internal/service/service.go:304.69,307.3 1 0
wbtest/internal/service/service.go:308.2,308.12 1 2
wbtest/internal/service/service.go:311.98,322.15 5 6
wbtest/internal/service/service.go:322.15,324.38 2 6
wbtest/internal/service/service.go:324.38,330.4 1 1
wbtest/internal/service/service.go:333.2,333.52 1 6
wbtest/internal/service/service.go:333.52,334.79 1 1
wbtest/internal/service/service.go:334.79,342.4 3 1
wbtest/internal/service/service.go:343.3,345.4 1 0
wbtest/internal/service/service.go:348.2,354.16 3 5
wbtest/internal/service/service.go:354.16,361.3 2 3
wbtest/internal/service/service.go:363.2,363.75 1 2
wbtest/internal/service/service.go:363.75,365.3 1 2
wbtest/internal/service/service.go:365.8,372.3 1 0
wbtest/internal/service/service.go:374.2,382.19 3 2
wbtest/internal/service/service.go:388.26,393.16 4 5
wbtest/internal/service/service.go:393.16,396.3 1 2
wbtest/internal/service/service.go:398.2,399.16 2 3
wbtest/internal/service/service.go:399.16,401.3 1 1
wbtest/internal/service/service.go:403.2,407.19 4 2
wbtest/internal/service/service.go:413.62,419.20 5 3
wbtest/internal/service/service.go:419.20,422.60 3 3
wbtest/internal/service/service.go:422.60,424.4 1 0
wbtest/internal/service/service.go:425.3,425.13 1 3
wbtest/internal/service/service.go:428.2,428.20 1 3
wbtest/internal/service/service.go:428.20,431.60 3 3
wbtest/internal/service/service.go:431.60,433.4 1 0
wbtest/internal/service/service.go:434.3,434.13 1 3
wbtest/internal/service/service.go:437.2,437.20 1 3
wbtest/internal/service/service.go:437.20,440.60 3 3
wbtest/internal/service/service.go:440.60,442.4 1 0
wbtest/internal/service/service.go:443.3,443.13 1 3
wbtest/internal/service/service.go:446.2,446.33 1 3
wbtest/internal/service/service.go:446.33,449.3 1 0
wbtest/internal/service/service.go:451.2,451.58 1 3
wbtest/internal/service/service.go:451.58,453.3 1 1
wbtest/internal/service/service.go:455.2,455.38 1 2
wbtest/internal/service/service.go:461.29,466.59 4 3
wbtest/internal/service/service.go:466.59,468.3 1 0
wbtest/internal/service/service.go:469.2,469.22 1 3
wbtest/internal/service/service.go:475.28,480.59 4 3
wbtest/internal/service/service.go:480.59,482.3 1 0
wbtest/internal/service/service.go:483.2,483.21 1 3
wbtest/internal/service/service.go:486.99,491.59 4 3
wbtest/internal/service/service.go:491.59,493.3 1 0
wbtest/internal/service/service.go:494.2,494.19 1 3
wbtest/internal/service/service.go:497.66,498.32 1 7
wbtest/internal/service/service.go:498.32,500.3 1 1
wbtest/internal/service/service.go:501.2,501.27 1 6
wbtest/internal/service/service.go:501.27,503.3 1 1
wbtest/internal/service/service.go:504.2,504.26 1 5
wbtest/internal/service/service.go:504.26,506.3 1 1
wbtest/internal/service/service.go:507.2,507.27 1 4
wbtest/internal/service/service.go:507.27,509.3 1 1
wbtest/internal/service/service.go:510.2,510.12 1 3
wbtest/internal/service/service.go:85.17,86.62 1 14
wbtest/internal/service/service.go:86.62,91.3 1 0
wbtest/internal/service/service.go:93.2,102.3 1 14
wbtest/internal/service/service.go:105.65,112.16 5 0
wbtest/internal/service/service.go:112.16,114.3 1 0
wbtest/internal/service/service.go:116.2,116.20 1 0
wbtest/internal/service/service.go:116.20,119.3 2 0
wbtest/internal/service/service.go:121.2,122.27 2 0
wbtest/internal/service/service.go:122.27,124.22 2 0
wbtest/internal/service/service.go:124.22,130.12 2 0
wbtest/internal/service/service.go:133.3,133.76 1 0
wbtest/internal/service/service.go:133.76,136.4 2 0
wbtest/internal/service/service.go:136.9,143.4 1 0
wbtest/internal/service/service.go:146.2,151.12 2 0
wbtest/internal/service/service.go:157.26,162.16 4 8
wbtest/internal/service/service.go:162.16,164.3 1 1
wbtest/internal/service/service.go:165.2,165.45 1 7
wbtest/internal/service/service.go:165.45,167.3 1 0
wbtest/internal/service/service.go:169.2,176.15 3 7
wbtest/internal/service/service.go:176.15,178.38 2 7
wbtest/internal/service/service.go:178.38,184.4 1 1
wbtest/internal/service/service.go:187.2,187.47 1 7
wbtest/internal/service/service.go:187.47,194.3 2 4
wbtest/internal/service/service.go:196.2,197.16 2 3
wbtest/internal/service/service.go:197.16,204.3 2 1
wbtest/internal/service/service.go:206.2,215.26 4 2
wbtest/internal/service/service.go:221.26,227.41 2 3
wbtest/internal/service/service.go:227.41,230.18 3 2
wbtest/internal/service/service.go:230.18,232.5 1 0
wbtest/internal/service/service.go:234.4,234.98 1 2
wbtest/internal/service/service.go:234.98,236.5 1 0
wbtest/internal/service/service.go:238.4,238.96 1 2
wbtest/internal/service/service.go:238.96,240.5 1 0
wbtest/internal/service/service.go:242.4,242.89 1 2
wbtest/internal/service/service.go:242.89,244.5 1 0
wbtest/internal/service/service.go:246.4,246.14 1 2
wbtest/internal/service/service.go:249.2,249.16 1 3
wbtest/internal/service/service.go:249.16,252.3 1 1
wbtest/internal/service/service.go:254.2,254.26 1 2
wbtest/internal/service/service.go:261.26,263.16 2 2
wbtest/internal/service/service.go:263.16,266.3 1 0
wbtest/internal/service/service.go:267.2,267.19 1 2
wbtest/internal/service/service.go:275.29,277.16 2 2
wbtest/internal/service/service.go:277.16,280.3 1 0
wbtest/internal/service/service.go:281.2,281.22 1 2
wbtest/internal/service/service.go:289.28,291.16 2 2
wbtest/internal/service/service.go:291.16,294.3 1 0
wbtest/internal/service/service.go:295.2,295.21 1 2
wbtest/internal/service/service.go:303.9,304.69 1 2
wbtest/internal/service/service.go:304.69,307.3 1 0
wbtest/internal/service/service.go:308.2,308.12 1 2
wbtest/internal/service/service.go:311.98,322.15 5 6
wbtest/internal/service/service.go:322.15,324.38 2 6
wbtest/internal/service/service.go:324.38,330.4 1 1
wbtest/internal/service/service.go:333.2,333.52 1 6
wbtest/internal/service/service.go:333.52,334.79 1 1
wbtest/internal/service/service.go:334.79,342.4 3 1
wbtest/internal/service/service.go:343.3,345.4 1 0
wbtest/internal/service/service.go:348.2,354.16 3 5
wbtest/internal/service/service.go:354.16,361.3 2 3
wbtest/internal/service/service.go:363.2,363.75 1 2
wbtest/internal/service/service.go:363.75,365.3 1 2
wbtest/internal/service/service.go:365.8,372.3 1 0
wbtest/internal/service/service.go:374.2,382.19 3 2
wbtest/internal/service/service.go:388.26,393.16 4 5
wbtest/internal/service/service.go:393.16,396.3 1 2
wbtest/internal/service/service.go:398.2,399.16 2 3
wbtest/internal/service/service.go:399.16,401.3 1 1
wbtest/internal/service/service.go:403.2,407.19 4 2
wbtest/internal/service/service.go:413.62,419.20 5 3
wbtest/internal/service/service.go:419.20,422.60 3 3
wbtest/internal/service/service.go:422.60,424.4 1 0
wbtest/internal/service/service.go:425.3,425.13 1 3
wbtest/internal/service/service.go:428.2,428.20 1 3
wbtest/internal/service/service.go:428.20,431.60 3 3
wbtest/internal/service/service.go:431.60,433.4 1 0
wbtest/internal/service/service.go:434.3,434.13 1 3
wbtest/internal/service/service.go:437.2,437.20 1 3
wbtest/internal/service/service.go:437.20,440.60 3 3
wbtest/internal/service/service.go:440.60,442.4 1 0
wbtest/internal/service/service.go:443.3,443.13 1 3
wbtest/internal/service/service.go:446.2,446.33 1 3
wbtest/internal/service/service.go:446.33,449.3 1 0
wbtest/internal/service/service.go:451.2,451.58 1 3
wbtest/internal/service/service.go:451.58,453.3 1 1
wbtest/internal/service/service.go:455.2,455.38 1 2
wbtest/internal/service/service.go:461.29,466.59 4 3
wbtest/internal/service/service.go:466.59,468.3 1 0
wbtest/internal/service/service.go:469.2,469.22 1 3
wbtest/internal/service/service.go:475.28,480.59 4 3
wbtest/internal/service/service.go:480.59,482.3 1 0
wbtest/internal/service/service.go:483.2,483.21 1 3
wbtest/internal/service/service.go:486.99,491.59 4 3
wbtest/internal/service/service.go:491.59,493.3 1 0
wbtest/internal/service/service.go:494.2,494.19 1 3
wbtest/internal/service/service.go:497.66,498.32 1 7
wbtest/internal/service/service.go:498.32,500.3 1 1
wbtest/internal/service/service.go:501.2,501.27 1 6
wbtest/internal/service/service.go:501.27,503.3 1 1
wbtest/internal/service/service.go:504.2,504.26 1 5
wbtest/internal/service/service.go:504.26,506.3 1 1
wbtest/internal/service/service.go:507.2,507.27 1 4
wbtest/internal/service/service.go:507.27,509.3 1 1
wbtest/internal/service/service.go:510.2,510.12 1 3
wbtest/internal/transport/kafka/dlq_processor.go:43.17,51.2 1 0
wbtest/internal/transport/kafka/dlq_processor.go:53.57,57.6 3 0
wbtest/internal/transport/kafka/dlq_processor.go:57.6,58.10 1 0
wbtest/internal/transport/kafka/dlq_processor.go:59.21,61.36 2 0
wbtest/internal/transport/kafka/dlq_processor.go:61.36,63.5 1 0
wbtest/internal/transport/kafka/dlq_processor.go:64.4,64.14 1 0
wbtest/internal/transport/kafka/dlq_processor.go:65.19,66.23 1 0
wbtest/internal/transport/kafka/dlq_processor.go:71.58,76.16 4 0
wbtest/internal/transport/kafka/dlq_processor.go:76.16,77.52 1 0
wbtest/internal/transport/kafka/dlq_processor.go:77.52,79.4 1 0
wbtest/internal/transport/kafka/dlq_processor.go:80.3,81.9 2 0
wbtest/internal/transport/kafka/dlq_processor.go:84.2,91.58 2 0
wbtest/internal/transport/kafka/dlq_processor.go:91.58,97.3 2 0
wbtest/internal/transport/kafka/dlq_processor.go:99.2,99.48 1 0
wbtest/internal/transport/kafka/dlq_processor.go:99.48,105.3 2 0
wbtest/internal/transport/kafka/dlq_processor.go:107.2,108.70 2 0
wbtest/internal/transport/kafka/dlq_processor.go:108.70,114.3 2 0
wbtest/internal/transport/kafka/dlq_processor.go:116.2,117.16 2 0
wbtest/internal/transport/kafka/dlq_processor.go:117.16,122.3 2 0
wbtest/internal/transport/kafka/dlq_processor.go:124.2,127.63 3 0
wbtest/internal/transport/kafka/dlq_processor.go:127.63,135.20 3 0
wbtest/internal/transport/kafka/dlq_processor.go:135.20,144.25 2 0
wbtest/internal/transport/kafka/dlq_processor.go:144.25,145.10 1 0
wbtest/internal/transport/kafka/dlq_processor.go:148.4,152.59 2 0
wbtest/internal/transport/kafka/dlq_processor.go:155.3,155.24 1 0
wbtest/internal/transport/kafka/dlq_processor.go:155.24,161.4 1 0
wbtest/internal/transport/kafka/dlq_processor.go:162.8,167.3 1 0
wbtest/internal/transport/kafka/order_consumer.go:38.18,46.2 1 0
wbtest/internal/transport/kafka/order_consumer.go:48.58,51.21 2 0
wbtest/internal/transport/kafka/order_consumer.go:51.21,53.3 1 0
wbtest/internal/transport/kafka/order_consumer.go:55.2,55.21 1 0
wbtest/internal/transport/kafka/order_consumer.go:55.21,59.3 3 0
wbtest/internal/transport/kafka/order_consumer.go:61.2,61.34 1 0
wbtest/internal/transport/kafka/order_consumer.go:61.34,63.3 1 0
wbtest/internal/transport/kafka/order_consumer.go:64.2,64.12 1 0
wbtest/internal/transport/kafka/order_consumer.go:67.56,68.6 1 0
wbtest/internal/transport/kafka/order_consumer.go:68.6,69.10 1 0
wbtest/internal/transport/kafka/order_consumer.go:70.21,71.36 1 0
wbtest/internal/transport/kafka/order_consumer.go:71.36,73.5 1 0
wbtest/internal/transport/kafka/order_consumer.go:74.4,74.14 1 0
wbtest/internal/transport/kafka/order_consumer.go:75.11,77.18 2 0
wbtest/internal/transport/kafka/order_consumer.go:77.18,78.47 1 0
wbtest/internal/transport/kafka/order_consumer.go:78.47,80.6 1 0
wbtest/internal/transport/kafka/order_consumer.go:81.5,84.13 2 0
wbtest/internal/transport/kafka/order_consumer.go:87.4,88.30 2 0
wbtest/internal/transport/kafka/order_consumer.go:93.80,107.16 3 0
wbtest/internal/transport/kafka/order_consumer.go:107.16,109.20 2 0
wbtest/internal/transport/kafka/order_consumer.go:109.20,119.4 2 0
wbtest/internal/transport/kafka/order_consumer.go:119.9,124.4 1 0
wbtest/internal/transport/kafka/order_consumer.go:125.3,125.75 1 0
wbtest/internal/transport/kafka/order_consumer.go:129.85,132.58 3 0
wbtest/internal/transport/kafka/order_consumer.go:132.58,134.3 1 0
wbtest/internal/transport/kafka/order_consumer.go:136.2,136.58 1 0
wbtest/internal/transport/kafka/order_consumer.go:136.58,138.3 1 0
wbtest/internal/transport/kafka/order_consumer.go:140.2,145.12 2 0
wbtest/internal/transport/http/error_handling.go:14.81,23.9 3 0
wbtest/internal/transport/http/error_handling.go:24.45,28.4 1 0
wbtest/internal/transport/http/error_handling.go:29.46,34.65 2 0
wbtest/internal/transport/http/error_handling.go:35.48,40.73 2 0
wbtest/internal/transport/http/error_handling.go:41.10,47.83 2 0
wbtest/internal/transport/http/error_handling.go:51.76,61.2 3 0
wbtest/internal/transport/http/handlers.go:29.56,36.16 5 0
wbtest/internal/transport/http/handlers.go:36.16,39.3 2 0
wbtest/internal/transport/http/handlers.go:41.2,45.16 4 0
wbtest/internal/transport/http/handlers.go:45.16,48.3 2 0
wbtest/internal/transport/http/handlers.go:50.2,54.30 2 0
wbtest/internal/transport/http/http_server.go:29.24,42.2 1 0
wbtest/internal/transport/http/http_server.go:44.55,49.21 3 0
wbtest/internal/transport/http/http_server.go:49.21,51.82 2 0
wbtest/internal/transport/http/http_server.go:51.82,54.4 2 0
wbtest/internal/transport/http/http_server.go:55.3,55.13 1 0
wbtest/internal/transport/http/http_server.go:58.2,58.21 1 0
wbtest/internal/transport/http/http_server.go:58.21,61.10 3 0
wbtest/internal/transport/http/http_server.go:62.15,64.22 2 0
wbtest/internal/transport/http/http_server.go:65.21,66.20 1 0
wbtest/internal/transport/http/http_server.go:70.2,70.34 1 0
wbtest/internal/transport/http/http_server.go:70.34,72.3 1 0
wbtest/internal/transport/http/http_server.go:73.2,73.12 1 0
wbtest/internal/transport/http/http_server.go:76.54,81.55 4 0
wbtest/internal/transport/http/http_server.go:81.55,84.3 2 0
wbtest/internal/transport/http/http_server.go:85.2,86.12 2 0
wbtest/internal/transport/http/middleware.go:11.62,12.30 1 0
wbtest/internal/transport/http/middleware.go:12.30,20.3 5 0
wbtest/internal/transport/http/middleware.go:23.60,24.30 1 0
wbtest/internal/transport/http/middleware.go:24.30,44.37 9 0
wbtest/internal/transport/http/middleware.go:44.37,46.4 1 0
wbtest/internal/transport/http/order_transport.go:22.17,43.2 10 0
wbtest/internal/transport/http/order_transport.go:45.45,47.2 1 0
wbtest/internal/transport/http/routes.go:23.38,24.47 1 0
wbtest/internal/transport/http/routes.go:24.47,26.3 1 0
wbtest/internal/transport/http/routes.go:28.2,28.41 1 0
wbtest/internal/transport/http/routes.go:28.41,30.3 1 0
wbtest/internal/transport/http/routes.go:32.2,33.2 2 0
wbtest/internal/transport/http/routes.go:33.2,35.3 1 0
wbtest/internal/transport/http/routes.go:37.2,37.77 1 0
wbtest/internal/service/service.go:85.17,86.62 1 14
wbtest/internal/service/service.go:86.62,91.3 1 0
wbtest/internal/service/service.go:93.2,102.3 1 14
wbtest/internal/service/service.go:105.65,112.16 5 0
wbtest/internal/service/service.go:112.16,114.3 1 0
wbtest/internal/service/service.go:116.2,116.20 1 0
wbtest/internal/service/service.go:116.20,119.3 2 0
wbtest/internal/service/service.go:121.2,122.27 2 0
wbtest/internal/service/service.go:122.27,124.22 2 0
wbtest/internal/service/service.go:124.22,130.12 2 0
wbtest/internal/service/service.go:133.3,133.76 1 0
wbtest/internal/service/service.go:133.76,136.4 2 0
wbtest/internal/service/service.go:136.9,143.4 1 0
wbtest/internal/service/service.go:146.2,151.12 2 0
wbtest/internal/service/service.go:157.26,162.16 4 8
wbtest/internal/service/service.go:162.16,164.3 1 1
wbtest/internal/service/service.go:165.2,165.45 1 7
wbtest/internal/service/service.go:165.45,167.3 1 0
wbtest/internal/service/service.go:169.2,176.15 3 7
wbtest/internal/service/service.go:176.15,178.38 2 7
wbtest/internal/service/service.go:178.38,184.4 1 1
wbtest/internal/service/service.go:187.2,187.47 1 7
